"","FINAL_ID","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","FEEDINGHAB","TOLERANCE","NBI_P_TOLERANCE","NBI_N_TOLERANCE","TOLNAME","CLASSIFIER","PREVNAMES","COMMONNAME","REFERENCE"
"252","TRIBELOS_JUCUNDUM","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","tribelos","tribelos_jucundus","GATHERER",7,NA,NA,"FACULTATIVE",NA,"TRIBELOS_SP._1,_TRIBELOS_SP.",NA,"49"
"253","PHAENOPSECTRA_PUNCTIPES_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","phaenopsectra","phaenopsectra_punctipes","SCRAPER",7,NA,NA,"FACULTATIVE",NA,"TRIBELOS_SP._2,_PHAENOPSECTRA_FLAVIPES",NA,"106"
"254","RHEOCRICOTOPUS_ROBACKI","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","rheocricotopus","rheocricotopus_robacki","GATHERER",5,4,4,"FACULTATIVE",NA,"TRICHOCLADIUS_SP._2",NA,"106"
"255","TVETENIA_VITRACIES","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","tvetenia","tvetenia_vitracies","GATHERER",5,7,6,"FACULTATIVE",NA,"TVETENIA_DISCOLORIPES_GR.,EUKIEFFERIELLA_DISCOLORIPES_GR.,EUKIEFFERIELLA_SP.,EUKIEFFERIELLA_SP._1",NA,"13,70"
"256","HEMERODROMIA_SP.","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","HEMERODROMIINAE","hemerodromia","NA","PREDATOR",6,5,6,"FACULTATIVE",NA,"UNDETERMINED_EMPIDIDAE,_UNDETERMINED_EMPIDAE,_ROEDERIODES_SP.",NA,"83117"
"257","UNDETERMINED_SCIRTIDAE","ARTHROPODA","INSECTA","COLEOPTERA","SCIRTIDAE","SCIRTIDAE","SCIRTIDAE","NA","SCRAPER",5,NA,NA,"FACULTATIVE",NA,"UNDETERMINED_HELODIDAE",NA,"83"
"258","UNDETERMINED_LUMBRICINA","ANNELIDA","CLITELLATA","OPISTHOPORA","OPISTHOPORA","OPISTHOPORA","OPISTHOPORA","NA","GATHERER",6,8,8,"FACULTATIVE",NA,"UNDETERMINED_LUMBRICULIDAE",NA,"83"
"259","UNDET._TUBIFICIDAE_W/_CAP._SETAE","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","NAIDIDAE","NAIDIDAE","NA","GATHERER",10,10,8,"TOLERANT",NA,"UNDETERMINED_TUBIFICIDAE,_PELOSCOLEX_SP.",NA,"18,83"
"260","UNDET._TUBIFICIDAE_W/O_CAP._SETAE","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","NAIDIDAE","NAIDIDAE","NA","GATHERER",10,7,7,"TOLERANT",NA,"UNDETERMINED_TUBIFICIDAE,_PELOSCOLEX_SP.",NA,"18,83"
"261","CONSTEMPELLINA_SP._1","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","constempellina","NA","GATHERER",4,NA,NA,"INTOLERANT",NA,"ZAVRELIA_SP.",NA,"124"
"262","CONSTEMPELLINA_SP._2","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","constempellina","NA","GATHERER",4,NA,NA,"INTOLERANT",NA,"ZAVRELIA_SP.",NA,"124"
"263","ZAVRELIA_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","zavrelia","NA","FILTERER",4,9,9,"INTOLERANT",NA,"ZAVRELIA_SP.,_CONSTEMPELLINA_SP._1",NA,"124"
"264","RHEOCRICOTOPUS_EMINELLOBUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","rheocricotopus","rheocricotopus_eminellobus","GATHERER",3,NA,NA,"INTOLERANT",NA,NA,NA,NA
"265","RHEOCRICOTOPUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","rheocricotopus","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"124"
"266","RHEOCRICOTOPUS_SP._2","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","rheocricotopus","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"124"
"267","RHEOCRICOTOPUS_SP._4","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","rheocricotopus","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"124"
"268","PSILOMETRIOCNEMUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psilometriocnemus","NA","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,"124,36"
"269","PSEUDOSMITTIA_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","pseudosmittia","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","PSEUDORTHOCLADIUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","pseudorthocladius","NA","GATHERER",0,NA,NA,"INTOLERANT",NA,NA,NA,"124,83"
"271","PSECTROCLADIUS_SORDIDELLUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_sordidellus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"272","PSECTROCLADIUS_DILATATUS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_dilatatus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"273","PSECTROCLADIUS_VERNALIS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_vernalis","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"274","PSECTROCLADIUS_SIMULANS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_simulans","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"275","PSECTROCLADIUS_(ALLOPSECTROCLADIUS)_PILOSUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_pilosus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"36"
"276","PSECTROCLADIUS_PILOSUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_pilosus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"36"
"277","PSECTROCLADIUS_NIGRUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_nigrus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"278","PSECTROCLADIUS_FLAVUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_flavus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"279","PSECTROCLADIUS_(MONOSECTROCLADIUS)_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","NA","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"280","PSECTROCLADIUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","NA","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"124"
"281","PARORTHOCLADIUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","parorthocladius","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,NA
"282","PARAPHAENOCLADIUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","paraphaenocladius","NA","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,"124,83"
"283","PROMORESIA_TARDELLA","ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","ELMINAE","optioservus","optioservus_tardellus","SCRAPER",2,NA,NA,"INTOLERANT",NA,NA,NA,"19"
"284","UNDETERMINED_HIRUDINEA","ANNELIDA","CLITELLATA","CLITELLATA","CLITELLATA","CLITELLATA","CLITELLATA","NA","PREDATOR",8,9,10,"TOLERANT",NA,NA,NA,"83,63"
"285","DUGESIA_TIGRINA","PLATYHELMINTHES","TREPAXONEMATA","NEOOPHORA","DUGESIIDAE","DUGESIIDAE","girardia","girardia_tigrina","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"62"
"286","ANODONTA_IMPLICATA","MOLLUSCA","BIVALVIA","UNIONOIDA","UNIONIDAE","UNIONINAE","pyganodon","pyganodon_implicata","FILTERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"116,83,3"
"287","RHYACODRILUS_SUBTERRANEUS","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","RHYACODRILINAE","rhyacodrilus","rhyacodrilus_subterraneus","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"18"
"288","QUISTADRILUS_MULTISETOSUS","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","TUBIFICINAE","quistadrilus","quistadrilus_multisetosus","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"18,83"
"289","PRISTINELLA_JENKINAE","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","PRISTININAE","pristina","pristina_jenkinae","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"18,83"
"290","LIMNODRILUS_CLAPAREDEIANUS","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","TUBIFICINAE","limnodrilus","limnodrilus_claparedeianus","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"18,83"
"291","BRATISLAVIA_DADAYI","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","NAIDINAE","bratislavia","bratislavia_dadayi","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"83,61"
"292","QUISTADRILUS_SP.","ANNELIDA","CLITELLATA","TUBIFICIDA","NAIDIDAE","TUBIFICINAE","quistadrilus","NA","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"18,83"
"293","BRACHYCERCUS_MACULATUS","ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","BRACHYCERCINAE","sparbarus","sparbarus_maculatus","GATHERER",3,NA,NA,"INTOLERANT",NA,NA,NA,"83,23"
"294","HETEROCLOEON_ANOKA","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","iswaeon","iswaeon_anoka","SCRAPER",2,NA,NA,"INTOLERANT",NA,NA,NA,"83,_34"
"295","SPARBARUS_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","BRACHYCERCINAE","sparbarus","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83,23"
"296","NEOPORUS_SP.","ARTHROPODA","INSECTA","COLEOPTERA","DYTISCIDAE","HYDROPORINAE","neoporus","NA","PREDATOR",5,NA,NA,"FACULTATIVE",NA,NA,NA,NA
"297","STENONEMA_PULCHELLUM","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","maccaffertium","maccaffertium_pulchellum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","STENONEMA_MODESTUM","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","maccaffertium","maccaffertium_modestum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","STENONEMA_EXIGUUM","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","maccaffertium","maccaffertium_exiguum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","MACCAFFERTIUM_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","HEPTAGENIIDAE","maccaffertium","NA","SCRAPER",5,NA,NA,"FACULTATIVE",NA,NA,NA,"9"
"301","UNDETERMINED_ARCTIIDAE","ARTHROPODA","INSECTA","LEPIDOPTERA","EREBIDAE","ARCTIINAE","ARCTIINAE","NA","SHREDDER",5,NA,NA,"FACULTATIVE",NA,NA,NA,"66"
"302","UNDETERMINED_SCATHOPHAGIDAE","ARTHROPODA","INSECTA","DIPTERA","SCATHOPHAGIDAE","SCATHOPHAGIDAE","SCATHOPHAGIDAE","NA","SHREDDER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"303","ECHINOGAMMARUS_ISCHNUS","ARTHROPODA","MALACOSTRACA","AMPHIPODA","GAMMARIDAE","GAMMARIDAE","echinogammarus","echinogammarus_ischnus","GATHERER",9,NA,NA,"TOLERANT",NA,NA,NA,NA
"304","PROCLOEON_RIVULARE","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","procloeon","procloeon_rivulare","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"305","PLAUDITUS_DUBIUS","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","plauditus","plauditus_dubius","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,"67"
"306","UNDETERMINED_ISONYCHIIDAE","ARTHROPODA","INSECTA","EPHEMEROPTERA","ISONYCHIIDAE","ISONYCHIIDAE","ISONYCHIIDAE","NA","FILTERER",2,NA,NA,"INTOLERANT",NA,NA,NA,"83"
"307","BRACHYCENTRUS_SOLOMONI","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","BRACHYCENTRIDAE","brachycentrus","brachycentrus_solomoni","FILTERER",1,NA,NA,"INTOLERANT",NA,NA,NA,"42"
"308","POLYCENTROPUS_REMOTUS","ARTHROPODA","INSECTA","TRICHOPTERA","POLYCENTROPODIDAE","POLYCENTROPODINAE","plectrocnemia","plectrocnemia_remota","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"125,98"
"309","UNDETERMINED_APATANIIDAE","ARTHROPODA","INSECTA","TRICHOPTERA","APATANIIDAE","APATANIIDAE","APATANIIDAE","NA","SCRAPER",3,NA,NA,"INTOLERANT",NA,NA,NA,"125"
"310","UNDETERMINED_DIPSEUDOPSIDAE","ARTHROPODA","INSECTA","TRICHOPTERA","DIPSEUDOPSIDAE","DIPSEUDOPSIDAE","DIPSEUDOPSIDAE","NA","FILTERER",5,NA,NA,"FACULTATIVE",NA,NA,NA,"125"
"311","SYMPETRUM_JANEAE","ARTHROPODA","INSECTA","ODONATA","LIBELLULIDAE","LIBELLULIDAE","sympetrum","sympetrum_janeae","PREDATOR",4,NA,NA,"INTOLERANT",NA,NA,NA,"83122"
"312","TETRAGONEURIA_SP.","ARTHROPODA","INSECTA","ODONATA","CORDULIIDAE","CORDULIINAE","epitheca","NA","PREDATOR",9,NA,NA,"TOLERANT",NA,NA,NA,NA
"313","EPICORDULIA_SP.","ARTHROPODA","INSECTA","ODONATA","CORDULIIDAE","CORDULIINAE","epitheca","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,NA
"314","UNDETERMINED_MACROMIIDAE","ARTHROPODA","INSECTA","ODONATA","CORDULIIDAE","MACROMIINAE","MACROMIINAE","NA","PREDATOR",2,NA,NA,"INTOLERANT",NA,NA,NA,"83122"
"315","MICROMENETUS_SP.","MOLLUSCA","GASTROPODA","BASOMMATOPHORA","PLANORBIDAE","PLANORBIDAE","menetus","NA","SCRAPER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"60"
"316","UNDETERMINED_OLIGOCHAETA","ANNELIDA","CLITELLATA","CLITELLATA","CLITELLATA","CLITELLATA","CLITELLATA","NA","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"18,83"
"317","UNDETERMINED_UENOIDAE","ARTHROPODA","INSECTA","TRICHOPTERA","UENOIDAE","UENOIDAE","UENOIDAE","NA","SCRAPER",3,NA,NA,"INTOLERANT",NA,NA,NA,"39"
"318","ISOGENOIDES_HANSONI","ARTHROPODA","INSECTA","PLECOPTERA","PERLODIDAE","PERLODINAE","isogenoides","isogenoides_hansoni","PREDATOR",0,NA,NA,"INTOLERANT",NA,NA,NA,"114,86"
"319","CAENIS_MACAFFERTI","ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","CAENINAE","caenis","caenis_macafferti","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"84"
"320","PLAUDITUS_CESTUS","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","plauditus","plauditus_cestus","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,NA
"321","ACENTRELLA_TURBIDA","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","acentrella","acentrella_turbida","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,"83"
"322","PSEUDOCENTROPTILOIDES_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","pseudocentroptiloides","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","PLAUDITUS_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","plauditus","NA","GATHERER",4,2,6,"INTOLERANT",NA,NA,NA,"67"
"324","DIPHETOR_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","diphetor","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"74"
"325","ACERPENNA_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","acerpenna","NA","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,"74120"
"326","UNDETERMINED_LEPTOHYPHIDAE","ARTHROPODA","INSECTA","EPHEMEROPTERA","LEPTOHYPHIDAE","LEPTOHYPHIDAE","LEPTOHYPHIDAE","NA","GATHERER",4,NA,NA,"INTOLERANT",NA,NA,NA,"83"
"327","UNDETERMINED_AMELETIDAE","ARTHROPODA","INSECTA","EPHEMEROPTERA","AMELETIDAE","AMELETIDAE","AMELETIDAE","NA","GATHERER",0,NA,NA,"INTOLERANT",NA,NA,NA,"83"
"328","PYGANODON_CATARACTA","MOLLUSCA","BIVALVIA","UNIONOIDA","UNIONIDAE","UNIONINAE","pyganodon","pyganodon_cataracta","FILTERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"116,83,3"
"329","DREISSENA_BUGENSIS","MOLLUSCA","BIVALVIA","VENEROIDA","DREISSENIDAE","DREISSENIDAE","dreissena","dreissena_bugensis","FILTERER",8,NA,NA,"TOLERANT",NA,NA,NA,"82"
"330","PYGANODON_SP.","MOLLUSCA","BIVALVIA","UNIONOIDA","UNIONIDAE","UNIONINAE","pyganodon","NA","FILTERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"116,83,3"
"331","BATRACOBDELLA_PHALERA","ANNELIDA","CLITELLATA","HIRUDINIDA","GLOSSIPHONIIDAE","GLOSSIPHONIINAE","desserobdella","desserobdella_phalera","PREDATOR",8,NA,NA,"TOLERANT",NA,NA,NA,"83,63"
"332","HETEROPLECTRON_AMERICANUM","ARTHROPODA","INSECTA","TRICHOPTERA","CALAMOCERATIDAE","CALAMOCERATINAE","heteroplectron","heteroplectron_americanum","SHREDDER",3,NA,NA,"INTOLERANT",NA,NA,NA,"83125"
"333","PSECTROCLADIUS_(PS.)_CF._OCTOMACULATUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_octomaculatus","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"124"
"334","PSECTROCLADIUS_OCTOMACULATUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","psectrocladius","psectrocladius_octomaculatus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"36"
"335","EUKIEFFERIELLA_SIMILIS_GR.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","eukiefferiella","eukiefferiella_similis","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"13"
"336","CYATHURA_POLITA","ARTHROPODA","MALACOSTRACA","ISOPODA","ANTHURIDAE","ANTHURIDAE","cyathura","cyathura_polita","GATHERER",5,NA,NA,"FACULTATIVE",NA,NA,NA,"48"
"337","EDOTEA_SP.","ARTHROPODA","MALACOSTRACA","ISOPODA","IDOTEIDAE","IDOTEIDAE","edotia","NA","GATHERER",5,NA,NA,"FACULTATIVE",NA,NA,NA,"48"
"338","APEDILUM_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","apedilum","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"36"
"339","APEDILUM","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","apedilum","NA","COLLECTOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83124"
"340","DICROTENDIPES_THANATOGRATUS","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","dicrotendipes","dicrotendipes_thanatogratus","GATHERER",8,NA,NA,"TOLERANT",NA,NA,NA,"35"
"341","ALOTANYPUS_SP.","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","alotanypus","NA","PREDATOR",9,NA,NA,"TOLERANT",NA,NA,NA,"36"
"342","PROCLOEON_SP.","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIDAE","procloeon","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"343","HELOBDELLA_ELONGATA","ANNELIDA","CLITELLATA","HIRUDINIDA","GLOSSIPHONIIDAE","HAEMENTERIINAE","gloiobdella","gloiobdella_elongata","PREDATOR",8,NA,NA,"TOLERANT",NA,NA,NA,"83,63"
"344","STENELMIS_CHERYL","ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","ELMINAE","stenelmis","stenelmis_cheryl","SCRAPER",5,NA,NA,"FACULTATIVE",NA,NA,NA,"20"
"345","ZAVRELIELLA_MARMORATA","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","zavreliella","zavreliella_marmorata",NA,8,NA,NA,"TOLERANT",NA,NA,NA,NA
"346","ALISOTRICHIA_SP.","ARTHROPODA","INSECTA","TRICHOPTERA","HYDROPTILIDAE","HYDROPTILINAE","alisotrichia","NA","SCRAPER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"125"
"347","UNDETERMINED_POLYDESMIDA","ARTHROPODA","DIPLOPODA","POLYDESMIDA","POLYDESMIDA","POLYDESMIDA","POLYDESMIDA","NA","GATHERER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"16"
"348","UNDETERMINED_MUSCIDAE","ARTHROPODA","INSECTA","DIPTERA","MUSCIDAE","MUSCIDAE","MUSCIDAE","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83117"
"349","UNDETERMINED_ANTHOMYIIDAE","ARTHROPODA","INSECTA","DIPTERA","ANTHOMYIIDAE","ANTHOMYIIDAE","ANTHOMYIIDAE","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"117"
"350","EPHYDRA_SP.","ARTHROPODA","INSECTA","DIPTERA","EPHYDRIDAE","EPHYDRINAE","ephydra","NA","SHREDDER",8,NA,NA,"FACULTATIVE",NA,NA,NA,"117"
"351","DIMECOENIA_SPINOSA","ARTHROPODA","INSECTA","DIPTERA","EPHYDRIDAE","EPHYDRINAE","dimecoenia","dimecoenia_spinosa","SHREDDER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"71"
"352","HYDRELLIA_SP.","ARTHROPODA","INSECTA","DIPTERA","EPHYDRIDAE","HYDRELLIINAE","hydrellia","NA","SHREDDER",6,NA,NA,"FACULTATIVE",NA,NA,NA,"127"
"353","UNDETERMINED_EPHYDRIDAE","ARTHROPODA","INSECTA","DIPTERA","EPHYDRIDAE","EPHYDRIDAE","EPHYDRIDAE","NA","SHREDDER",7,NA,NA,"FACULTATIVE",NA,NA,NA,"117"
"354","DICTYA_SP.","ARTHROPODA","INSECTA","DIPTERA","SCIOMYZIDAE","SCIOMYZINAE","dictya","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","ERISTALIS_SP.","ARTHROPODA","INSECTA","DIPTERA","SYRPHIDAE","ERISTALINAE","eristalis","NA","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"83"
"356","UNDETERMINED_SYRPHIDAE","ARTHROPODA","INSECTA","DIPTERA","SYRPHIDAE","SYRPHIDAE","SYRPHIDAE","NA","GATHERER",10,NA,NA,"TOLERANT",NA,NA,NA,"83"
"357","UNDETERMINED_PHORIDAE","ARTHROPODA","INSECTA","DIPTERA","PHORIDAE","PHORIDAE","PHORIDAE","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","UNDETERMINED_DOLICHOPODIDAE","ARTHROPODA","INSECTA","DIPTERA","DOLICHOPODIDAE","DOLICHOPODIDAE","DOLICHOPODIDAE","NA","PREDATOR",4,NA,NA,"INTOLERANT",NA,NA,NA,"83117"
"359","OREOGETON_SP.","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","OREOGETONINAE","oreogeton","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"360","NEOPLASTA_SP.","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","HEMERODROMIINAE","neoplasta","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"361","CHELIFERA_SP.","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","HEMERODROMIINAE","chelifera","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83117"
"362","WIEDEMANNIA_SP.","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","CLINOCERINAE","wiedemannia","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83117"
"363","CLINOCERA_SP.","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","CLINOCERINAE","clinocera","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83117"
"364","UNDETERMINED_EMPIDIDAE","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","EMPIDIDAE","EMPIDIDAE","NA","PREDATOR",6,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"365","TABANUS_SP.","ARTHROPODA","INSECTA","DIPTERA","TABANIDAE","TABANINAE","tabanus","NA","PREDATOR",5,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"366","HYBOMITRA_SP.","ARTHROPODA","INSECTA","DIPTERA","TABANIDAE","TABANINAE","hybomitra","NA","PREDATOR",5,NA,NA,"FACULTATIVE",NA,NA,NA,"83"
"367","UNDETERMINED_TABANIDAE","ARTHROPODA","INSECTA","DIPTERA","TABANIDAE","TABANIDAE","TABANIDAE","NA","PREDATOR",5,NA,NA,"FACULTATIVE",NA,NA,NA,"83117"
